crop,2023-24_area_acre,2023-24_area_ha,2023-24_yield_t_per_ha,2023-24_production_t,2024-25_area_acre,2024-25_area_ha,2024-25_yield_t_per_ha,2024-25_production_t,yield_change,production_change,geographic_level
Aus,142595.0,57707.0,3.052,176146.0,143696.0,58153.0,3.076,178873.0,0.007863695937090354,0.015481475594109506,Naogaon district
Aman,481000.0,194666.0,2.996,583283.0,485460.0,196463.0,3.185,625784.0,0.06308411214953269,0.07286514436388503,Naogaon district
Boro,476701.0,192918.0,4.514,870791.0,472568.0,191246.0,4.801,918172.0,0.06357997341603894,0.054411448901056536,Naogaon district
Wheat,41375.0,16744.0,3.604,60340.0,42761.0,17305.0,3.981,68885.0,0.1046059933407324,0.14161418627775935,Naogaon district
Maize (Rabi+Kharif),18483.31,7479.930178071015,10.322371755067866,77210.62,20615.71,8342.88184158359,10.946813311533695,91327.97,0.06049399995299076,0.18284207535181052,Naogaon district
Potato,50533.0,20450.0,18.444,377187.0,63795.0,25817.0,19.778,510607.0,0.0723270440251571,0.35372374975807763,Naogaon district
Lentil (Masur),375.81,152.0849112102144,1.3769939327546836,209.42,412.87,167.0825611116288,1.4576625973388264,243.55,0.058583166319959634,0.16297392799159605,Naogaon district
Mustard,164385.0,66524.2492996224,1.639672768176869,109078.0,147035.0,59502.953406758395,1.6630771135598836,98958.0,0.014273790378940943,-0.09277764535470034,Naogaon district
