upazila,fy,dtw_units,dtw_irrigated_area_ha,dtw_beneficiary_farmers,llp_units,llp_irrigated_area_ha,llp_beneficiary_farmers,warpo_irrigable_area_ha,reported_equipment-area_sum_ha,dtw_coverage_of_irrigable_area,equipment-area_sum_per_irrigable_area,ha_per_dtw,farmers_per_dtw,source
Mahadebpur,2017-18,551,17045,24579,27.0,640.0,1190.0,33237,17685,0.5128320847248549,0.5320877335499594,30.934664246823957,44.60798548094374,BMDA Annual Report 2017–18
Sapahar,2017-18,322,12400,20045,24.0,744.0,1580.0,20057,13144,0.6182380216383307,0.6553323029366306,38.50931677018634,62.25155279503105,BMDA Annual Report 2017–18
Mahadebpur,2018-19,551,15175,16145,33.0,758.0,1810.0,33237,15933,0.4565694858140025,0.47937539489123565,27.540834845735027,29.301270417422867,BMDA Annual Report 2018–19
Sapahar,2018-19,320,12930,17185,24.0,624.0,1270.0,20057,13554,0.6446627112728723,0.6757740439746722,40.40625,53.703125,BMDA Annual Report 2018–19
Mahadebpur,2019-20,551,15275,16145,,,,33237,15275,0.4595781809429251,0.4595781809429251,27.722323049001815,29.301270417422867,BMDA Annual Report 2020–21 (2019–20 table)
Sapahar,2019-20,320,12998,17185,,,,20057,12998,0.648053048810889,0.648053048810889,40.61875,53.703125,BMDA Annual Report 2020–21 (2019–20 table)
Mahadebpur,2020-21,551,15275,16145,,,,33237,15275,0.4595781809429251,0.4595781809429251,27.722323049001815,29.301270417422867,BMDA Annual Report 2020–21
Sapahar,2020-21,318,12998,17185,,,,20057,12998,0.648053048810889,0.648053048810889,40.874213836477985,54.040880503144656,BMDA Annual Report 2020–21
