upazila,date,year,month,previous_observed_month,next_observed_month,interpolation_fraction,NDVI_interpolated,EVI_interpolated,raw_total_composites,raw_valid_composites,raw_total_valid_pixels
Mahadebpur,2017-06,2017,6,2017-05,2017-07,0.5,0.4528769710154493,0.2663710400140553,2,0,0
Mahadebpur,2020-06,2020,6,2020-05,2020-07,0.5,0.5531957201674405,0.31767660466066605,2,0,0
Sapahar,2005-07,2005,7,2005-06,2005-08,0.5,0.4472110911023379,0.2989171568766766,2,0,0
Sapahar,2008-07,2008,7,2008-06,2008-08,0.5,0.46308306503177177,0.2773821695836891,2,0,0
Sapahar,2016-06,2016,6,2016-05,2016-07,0.5,0.3703176863494185,0.18973561237029138,2,0,0
Sapahar,2020-06,2020,6,2020-05,2020-08,0.3333333333333333,0.6222278238760429,0.39643236518335295,2,0,0
Sapahar,2020-07,2020,7,2020-06,2020-08,0.5,0.6618353386700551,0.4056579742830292,2,0,0
